"Date","cases"
"2014-08-09",2
"2014-08-10",5
"2014-08-11",16
"2014-08-12",7
"2014-08-13",25
"2014-08-14",9
"2014-08-15",9
"2014-08-16",12
"2014-08-17",19
"2014-08-18",3
"2014-08-19",10
"2014-08-20",52
"2014-08-21",30
"2014-08-22",54
"2014-08-23",50
"2014-08-24",18
"2014-08-25",51
"2014-08-26",46
"2014-08-27",43
"2014-08-28",84
"2014-08-29",12
"2014-08-30",39
"2014-08-31",20
"2014-09-01",61
"2014-09-02",19
"2014-09-03",16
"2014-09-04",61
"2014-09-05",39
"2014-09-06",57
"2014-09-07",33
"2014-09-08",28
"2014-09-09",34
"2014-09-10",50
"2014-09-11",52
"2014-09-12",60
"2014-09-13",69
"2014-09-14",39
"2014-09-15",38
"2014-09-16",59
"2014-09-17",47
"2014-09-18",62
"2014-09-19",73
"2014-09-20",74
"2014-09-21",26
"2014-09-22",73
"2014-09-23",69
"2014-09-24",67
"2014-09-25",60
"2014-09-26",87
"2014-09-27",62
"2014-09-28",64
"2014-09-29",65
"2014-09-30",36
"2014-10-01",58
"2014-10-02",49
"2014-10-03",33
"2014-10-04",80
"2014-10-05",43
"2014-10-06",60
"2014-10-07",51
"2014-10-08",61
"2014-10-09",51
"2014-10-10",44
"2014-10-11",52
"2014-10-12",17
"2014-10-13",32
"2014-10-14",33
"2014-10-15",17
"2014-10-16",40
"2014-10-17",50
"2014-10-18",30
"2014-10-19",31
"2014-10-20",27
"2014-10-21",29
"2014-10-22",39
"2014-10-23",36
"2014-10-24",18
"2014-10-25",15
"2014-10-26",20
"2014-10-27",28
"2014-10-28",22
"2014-10-29",26
"2014-10-30",26
"2014-10-31",21
"2014-11-01",13
"2014-11-02",16
"2014-11-03",12
"2014-11-04",26
"2014-11-05",19
"2014-11-06",19
"2014-11-07",17
"2014-11-08",23
"2014-11-09",7
"2014-11-10",40
"2014-11-11",11
"2014-11-12",15
"2014-11-13",18
"2014-11-14",8
"2014-11-15",18
"2014-11-16",13
"2014-11-17",10
"2014-11-18",7
"2014-11-19",12
"2014-11-20",3
"2014-11-21",8
"2014-11-22",19
"2014-11-23",11
"2014-11-24",4
"2014-11-25",18
"2014-11-26",2
"2014-11-27",12
"2014-11-28",7
"2014-11-29",10
"2014-11-30",10
"2014-12-01",1
"2014-12-02",9
"2014-12-03",19
"2014-12-04",6
"2014-12-05",4
"2014-12-06",7
"2014-12-07",7
"2014-12-08",4
"2014-12-09",4
"2014-12-10",15
"2014-12-11",4
"2014-12-12",2
"2014-12-13",6
"2014-12-14",1
"2014-12-15",0
"2014-12-16",7
"2014-12-17",2
"2014-12-18",5
"2014-12-19",3
"2014-12-20",4
"2014-12-21",2
"2014-12-22",13
"2014-12-23",7
"2014-12-24",6
"2014-12-25",3
"2014-12-26",0
"2014-12-27",1
"2014-12-28",1
"2014-12-29",2
"2014-12-30",4
"2014-12-31",0
"2015-01-01",2
"2015-01-02",0
"2015-01-03",0
"2015-01-04",1
"2015-01-05",2
"2015-01-06",2
"2015-01-07",0
"2015-01-08",2
